Title,Price,Area,Region,Link
整租·悦彩广场 1室1厅 东,1700 元/月,36.81㎡,温江-温江大学城-悦彩广场,https://cd.lianjia.com/zufang/CD1955922433915486208.html
整租·天府半岛七期 3室2厅 西南,1900 元/月,91.28㎡,天府新区-锦江生态带-天府半岛七期,https://cd.lianjia.com/zufang/CD1955464435363479552.html
整租·翡翠城四期 3室1厅 东南,3300 元/月,87.99㎡,锦江-东湖-翡翠城四期,https://cd.lianjia.com/zufang/CD1699348730886488064.html
独栋·龙湖冠寓 成都滨江天街店 【国庆钜惠】东郊记忆3一个月起租可月付短租 0中介今日可看房 开间,1891-2180 元/月,35.00㎡,仅剩2间,https://cd.lianjia.com/apartment/49105.html
整租·蓝光T-max 3室2厅 南/西南,3200 元/月,132.52㎡,双流-航空港-蓝光T-max,https://cd.lianjia.com/zufang/CD1955889619312574464.html
独栋·龙湖冠寓 成都滨江天街店 【国庆钜惠】2建设路一个月起租无中介！立抢95折长租特惠 1室1厅,1848-1924 元/月,35.00㎡,仅剩2间,https://cd.lianjia.com/apartment/49105.html
整租·朗诗熙公馆 2室1厅 东,3450 元/月,73.63㎡,高新-大源-朗诗熙公馆,https://cd.lianjia.com/zufang/CD1955856870312771584.html
独栋·龙湖冠寓 成都滨江天街店 【国庆钜惠】理工大1一个月起租学生双重优惠 0中介 可月付9 开间,1848-2032 元/月,35.00㎡,仅剩2间,https://cd.lianjia.com/apartment/49105.html
整租·蓝光幸福满庭 1室1厅 西南,1700 元/月,41.02㎡,郫都-犀浦-蓝光幸福满庭,https://cd.lianjia.com/zufang/CD1955856465092673536.html
整租·荷韵欣苑西苑 1室1厅 东南,1420 元/月,45.00㎡,双流-公兴-荷韵欣苑西苑,https://cd.lianjia.com/zufang/CD1954783294428020736.html
整租·瑞泉馨城生活广场 3室2厅 南,1700 元/月,63.48㎡,温江-光华大道沿线-瑞泉馨城生活广场,https://cd.lianjia.com/zufang/CD1955698654178181120.html
整租·锦绣庭院 2室2厅 南,1400 元/月,83.31㎡,新都-新都城区-锦绣庭院,https://cd.lianjia.com/zufang/CD1954013320340045824.html
整租·中国铁建武侯樾府 3室2厅 东南,4500 元/月,120.31㎡,武侯-草金立交-中国铁建武侯樾府,https://cd.lianjia.com/zufang/CD1952025577166733312.html
整租·保利学府城 3室2厅 东南,3200 元/月,107.35㎡,金牛-国宾-保利学府城,https://cd.lianjia.com/zufang/CD1955115283249102848.html
整租·宗申流溪别院 3室1厅 东南,2200 元/月,109.47㎡,双流-双流城区-宗申流溪别院,https://cd.lianjia.com/zufang/CD1955885451071979520.html
独栋·龙湖冠寓 成都滨江天街店 【国庆钜惠】猛追湾1一个月起租0中介 长租折上折 近东郊记忆 1室1厅,1991-2190 元/月,35.00㎡,仅剩3间,https://cd.lianjia.com/apartment/49105.html
整租·熙悦中心 1室1厅 东南,1850 元/月,63.57㎡,金牛-国宾-熙悦中心,https://cd.lianjia.com/zufang/CD1955861791565152256.html
整租·中电大厦 3室2厅 东南,6000 元/月,150.03㎡,锦江-盐市口-中电大厦,https://cd.lianjia.com/zufang/CD1955128801851604992.html
整租·恒大珺临阁 1室1厅 南,2420 元/月,47.27㎡,高新-大源-恒大珺临阁,https://cd.lianjia.com/zufang/CD1955898500940038144.html
整租·保利国宾首府 1室0厅 西南,1680 元/月,40.00㎡,金牛-国宾-保利国宾首府,https://cd.lianjia.com/zufang/CD1955498877503143936.html
整租·凯悦新城 1室1厅 南,2200 元/月,43.72㎡,武侯-川音-凯悦新城,https://cd.lianjia.com/zufang/CD1955650791951826944.html
合租·嘉年华青年城 2居室 LOFT 南卧,1290 元/月,48.00㎡,高新-远大-嘉年华青年城,https://cd.lianjia.com/zufang/CD1917452236024184832.html
整租·培风小区200号 1室1厅 南,1700 元/月,42.77㎡,青羊-万家湾-培风小区200号,https://cd.lianjia.com/zufang/CD1955474058204151808.html
整租·爵领欧城 2室2厅 南,1500 元/月,70.26㎡,新都-毗河-爵领欧城,https://cd.lianjia.com/zufang/CD1954741291455610880.html
整租·洲际华府广场 1室1厅 南,1900 元/月,49.00㎡,双流-华府-洲际华府广场,https://cd.lianjia.com/zufang/CD1955491581171597312.html
整租·龙锦雅苑 2室1厅 东,1800 元/月,50.69㎡,成华-龙潭寺-龙锦雅苑,https://cd.lianjia.com/zufang/CD1947602551553654784.html
整租·快乐空间 1室0厅 南,1600 元/月,34.61㎡,青羊-府南新区-快乐空间,https://cd.lianjia.com/zufang/CD1954729017613484032.html
整租·世茂城一期 2室2厅 南,2200 元/月,89.20㎡,龙泉驿-大面-世茂城一期,https://cd.lianjia.com/zufang/CD1955245391251243008.html
整租·木锦新城B区 2室1厅 南,1400 元/月,74.62㎡,新都-保利公园-木锦新城B区,https://cd.lianjia.com/zufang/CD1954583703363518464.html
整租·万科润园 3室2厅 南,2600 元/月,105.54㎡,新都-大丰-万科润园,https://cd.lianjia.com/zufang/CD1955190740317372416.html
整租·俊发时光俊园 4室2厅 东南/南,4725 元/月,119.21㎡,青羊-外光华-俊发时光俊园,https://cd.lianjia.com/zufang/CD1944420994189885440.html
整租·江山多娇 2室2厅 南/北,1166 元/月,78.78㎡,新津-五津-江山多娇,https://cd.lianjia.com/zufang/CD1955186316828213248.html
整租·翡翠城四期 3室1厅 东南,3300 元/月,87.99㎡,锦江-东湖-翡翠城四期,https://cd.lianjia.com/zufang/CD1699348730886488064.html
合租·嘉年华国际社区 4居室 东北卧,990 元/月,11.11㎡,高新-远大-嘉年华国际社区,https://cd.lianjia.com/zufang/CD1825419637290958848.html
整租·中港广场 1室1厅 西,2350 元/月,49.86㎡,锦江-东湖-中港广场,https://cd.lianjia.com/zufang/CD1943638976896172032.html
合租·军安卫士花园 3居室 北卧,790 元/月,7.20㎡,高新-中和-军安卫士花园,https://cd.lianjia.com/zufang/CD1943924892923592704.html
整租·华润橡树湾A区 2室2厅 东南,1800 元/月,52.55㎡,郫都-橡树湾-华润橡树湾A区,https://cd.lianjia.com/zufang/CD1944310559272861696.html
合租·双楠悦天地 4居室 西北卧,1360 元/月,14.10㎡,武侯-红牌楼-双楠悦天地,https://cd.lianjia.com/zufang/CD1950902943918063616.html
整租·蓝光T-max 3室2厅 南/西南,3200 元/月,132.52㎡,双流-航空港-蓝光T-max,https://cd.lianjia.com/zufang/CD1955889619312574464.html
整租·天邑宏御花园宏苑 2室1厅 南,1500 元/月,91.67㎡,郫都-橡树湾-天邑宏御花园宏苑,https://cd.lianjia.com/zufang/CD1954520704028246016.html
整租·朗诗熙公馆 2室1厅 东,3450 元/月,73.63㎡,高新-大源-朗诗熙公馆,https://cd.lianjia.com/zufang/CD1955856870312771584.html
整租·汇融悉尼湾达令港 2室2厅 南,1300 元/月,89.81㎡,新都-大丰-汇融悉尼湾达令港,https://cd.lianjia.com/zufang/CD1955136142336589824.html
整租·蓝光幸福满庭 1室1厅 西南,1700 元/月,41.02㎡,郫都-犀浦-蓝光幸福满庭,https://cd.lianjia.com/zufang/CD1955856465092673536.html
整租·保利梧桐语 3室2厅 东南,3000 元/月,88.33㎡,金牛-高家庄-保利梧桐语,https://cd.lianjia.com/zufang/CD1954441436359294976.html
整租·瑞泉馨城生活广场 3室2厅 南,1700 元/月,63.48㎡,温江-光华大道沿线-瑞泉馨城生活广场,https://cd.lianjia.com/zufang/CD1955698654178181120.html
合租·融创观玺台花园 4居室 南卧,1360 元/月,15.60㎡,青羊-外光华-融创观玺台花园,https://cd.lianjia.com/zufang/CD1914657437953032192.html
整租·合能四季城一期 3室1厅 西南,2000 元/月,93.22㎡,郫都-犀浦-合能四季城一期,https://cd.lianjia.com/zufang/CD1955828405307965440.html
整租·棠湖华府公园 1室1厅 北,2000 元/月,43.41㎡,双流-九龙湖-棠湖华府公园,https://cd.lianjia.com/zufang/CD1954103907458220032.html
整租·中国铁建武侯樾府 3室2厅 东南,4500 元/月,120.31㎡,武侯-草金立交-中国铁建武侯樾府,https://cd.lianjia.com/zufang/CD1952025577166733312.html
整租·悦彩广场 3室1厅 南,1900 元/月,87.00㎡,温江-温江大学城-悦彩广场,https://cd.lianjia.com/zufang/CD1941498284040257536.html
整租·宗申流溪别院 3室1厅 东南,2200 元/月,109.47㎡,双流-双流城区-宗申流溪别院,https://cd.lianjia.com/zufang/CD1955885451071979520.html
合租·时代晶科名苑 4居室 南卧,1330 元/月,9.35㎡,高新-市一医院-时代晶科名苑,https://cd.lianjia.com/zufang/CD1801077439477055488.html
整租·银诚东方国际一期 3室2厅 南,1600 元/月,91.71㎡,龙泉驿-西河-银诚东方国际一期,https://cd.lianjia.com/zufang/CD1954743874257682432.html
整租·麓岭汇 2室1厅 东南,2600 元/月,128.78㎡,天府新区-麓山-麓岭汇,https://cd.lianjia.com/zufang/CD1944719741348216832.html
整租·博闻八里锦汇 1室1厅 南,2200 元/月,67.26㎡,成华-八里小区-博闻八里锦汇,https://cd.lianjia.com/zufang/CD1954856111420997632.html
整租·首创万卷山 3室1厅 东南,1890 元/月,90.48㎡,龙泉驿-大面-首创万卷山,https://cd.lianjia.com/zufang/CD1950749833320988672.html
整租·万科翡翠公园 4室2厅 南,3325 元/月,121.00㎡,天府新区-锦江生态带-万科翡翠公园,https://cd.lianjia.com/zufang/CD1941902546016665600.html
整租·锦绣家园 2室1厅 东,1750 元/月,70.00㎡,天府新区-海洋公园-锦绣家园,https://cd.lianjia.com/zufang/CD1953286359561011200.html
整租·合谊万璟台 4室2厅 东南,3000 元/月,139.61㎡,温江-温江大学城-合谊万璟台,https://cd.lianjia.com/zufang/CD1954494862321516544.html
整租·花样年花郡 1室1厅 东南/南,2300 元/月,43.75㎡,成华-万象城-花样年花郡,https://cd.lianjia.com/zufang/CD1955196629057273856.html
整租·恒大珺临阁 2室1厅 南,3550 元/月,86.78㎡,高新-大源-恒大珺临阁,https://cd.lianjia.com/zufang/CD1949326458677624832.html
整租·世纪光华 3室2厅 南,1900 元/月,109.07㎡,温江-花都大道-世纪光华,https://cd.lianjia.com/zufang/CD1955215546488193024.html
整租·炜岸城一期 3室2厅 西南,2100 元/月,80.00㎡,龙泉驿-大面-炜岸城一期,https://cd.lianjia.com/zufang/CD1951144882877759488.html
合租·领馆区1号 5居室 南卧,799 元/月,12.00㎡,高新-中和-领馆区1号,https://cd.lianjia.com/zufang/CD1944740862638424064.html
整租·华宇广场 1室1厅 东南,3200 元/月,55.98㎡,锦江-沙河堡-华宇广场,https://cd.lianjia.com/zufang/CD1951204763710259200.html
合租·美洲花园三期 4居室 跃层 东南卧,1000 元/月,15.00㎡,高新-新北-美洲花园三期,https://cd.lianjia.com/zufang/CD1944364215544315904.html
整租·玉成街14号 1室1厅 东南,2300 元/月,42.12㎡,锦江-合江亭-玉成街14号,https://cd.lianjia.com/zufang/CD1951145585893441536.html
合租·二十一世纪花园三期 4居室 南卧,825 元/月,15.00㎡,青羊-贝森-二十一世纪花园三期,https://cd.lianjia.com/zufang/CD1937817393002708992.html
整租·宗申流溪别院 3室1厅 东南,2200 元/月,109.47㎡,双流-双流城区-宗申流溪别院,https://cd.lianjia.com/zufang/CD1955885451071979520.html
整租·祥云樾府 3室2厅 东北,4000 元/月,122.00㎡,天府新区-麓山-祥云樾府,https://cd.lianjia.com/zufang/CD1934183887601139712.html
整租·人居锦尚春天A区 2室1厅 东北,2000 元/月,81.48㎡,锦江-三圣乡-人居锦尚春天A区,https://cd.lianjia.com/zufang/CD1950132666451886080.html
整租·经典上城(凤凰西五路) 3室1厅 南,1300 元/月,97.95㎡,青白江-青白江-经典上城(凤凰西五路),https://cd.lianjia.com/zufang/CD1951187216399073280.html
整租·浅水半岛二期 2室2厅 东南,2420 元/月,94.11㎡,成华-八里小区-浅水半岛二期,https://cd.lianjia.com/zufang/CD1955644255854657536.html
整租·星光华印象 2室1厅 东,2080 元/月,93.69㎡,温江-温江新城-星光华印象,https://cd.lianjia.com/zufang/CD1941051096000626688.html
整租·丽阳天下 1室1厅 东南,2100 元/月,45.09㎡,青羊-八宝街-丽阳天下,https://cd.lianjia.com/zufang/CD1955913299438600192.html
合租·南湖国际社区 5居室 南卧,1050 元/月,16.00㎡,天府新区-南湖-南湖国际社区,https://cd.lianjia.com/zufang/CD1917066915499474944.html
整租·保利星荟 1室0厅 南,2050 元/月,37.58㎡,高新-大源-保利星荟,https://cd.lianjia.com/zufang/CD1955945690332921856.html
整租·水碾河北二街 3室1厅 东南,2600 元/月,59.05㎡,成华-新华公园-水碾河北二街,https://cd.lianjia.com/zufang/CD1955106485746794496.html
整租·熙悦中心 1室1厅 东南,1850 元/月,63.57㎡,金牛-国宾-熙悦中心,https://cd.lianjia.com/zufang/CD1955861791565152256.html
整租·嘉年华青年城 2室1厅 西南,2500 元/月,48.84㎡,高新-远大-嘉年华青年城,https://cd.lianjia.com/zufang/CD1955540546990637056.html
整租·华润时光里 1室1厅 南,2100 元/月,31.58㎡,高新-远大-华润时光里,https://cd.lianjia.com/zufang/CD1951140365536854016.html
合租·罗兰小镇 4居室 东北卧,1060 元/月,10.25㎡,成华-理工大-罗兰小镇,https://cd.lianjia.com/zufang/CD1895897555363954688.html
整租·奥园棠玥府 2室1厅 南,1500 元/月,70.00㎡,新都-新都城区-奥园棠玥府,https://cd.lianjia.com/zufang/CD1955248057826148352.html
