标题,价格,面积,区域,链接
整租·新民花园 3室1厅 东南,2300 元/月,80.00㎡,渝中-解放碑-新民花园,https://cq.lianjia.com/zufang/CQ1955579513412780032.html
合租·凌云阁 3居室 南卧,501 元/月,15.00㎡,渝中-大坪-凌云阁,https://cq.lianjia.com/zufang/CQ1843688148874297344.html
整租·梨苑新居 2室1厅 北,1600 元/月,76.00㎡,沙坪坝-梨树湾-梨苑新居,https://cq.lianjia.com/zufang/CQ1955553786067943424.html
合租·山顶道国宾城 5居室 南卧,700 元/月,23.00㎡,渝北-嘉州-山顶道国宾城,https://cq.lianjia.com/zufang/CQ1820746860998950912.html
整租·时代星居 2室1厅 南,1650 元/月,70.00㎡,沙坪坝-工人村-时代星居,https://cq.lianjia.com/zufang/CQ1955122393072533504.html
合租·民航小区 5居室,690 元/月,15.00㎡,渝北-嘉州-民航小区,https://cq.lianjia.com/zufang/CQ1824080931846094848.html
整租·金悦府 3室2厅 南,2200 元/月,87.00㎡,沙坪坝-烈士墓-金悦府,https://cq.lianjia.com/zufang/CQ1955128519721746432.html
合租·民航小区 3居室,650 元/月,13.00㎡,渝北-嘉州-民航小区,https://cq.lianjia.com/zufang/CQ1824392205909884928.html
整租·诺丁阳光 1室1厅 南,1500 元/月,56.50㎡,沙坪坝-小龙坎-诺丁阳光,https://cq.lianjia.com/zufang/CQ1953068862844960768.html
合租·友诚九龙湖畔 4居室 南卧,800 元/月,25.00㎡,渝北-新牌坊-友诚九龙湖畔,https://cq.lianjia.com/zufang/CQ1822905279352668160.html
整租·中豪公园尚城 2室2厅 东南,1200 元/月,80.00㎡,大渡口-双山-中豪公园尚城,https://cq.lianjia.com/zufang/CQ1925514501562564608.html
合租·加州城市花园 5居室 东南卧,750 元/月,25.00㎡,渝北-嘉州-加州城市花园,https://cq.lianjia.com/zufang/CQ1823222625606828032.html
整租·金科天宸10街区 1室1厅 东南,1300 元/月,60.00㎡,沙坪坝-西永-金科天宸10街区,https://cq.lianjia.com/zufang/CQ1950878182747930624.html
合租·保利香槟花园C区 4居室 南卧,745 元/月,20.00㎡,渝北-龙头寺-保利香槟花园C区,https://cq.lianjia.com/zufang/CQ1841523092015284224.html
整租·龙湖时代天街 2室1厅 北,2000 元/月,77.62㎡,渝中-大坪-龙湖时代天街,https://cq.lianjia.com/zufang/CQ1955465042023415808.html
整租·山水天成 2室1厅 东,1800 元/月,70.00㎡,江北-五里店-山水天成,https://cq.lianjia.com/zufang/CQ1955568675780034560.html
整租·龙湖U城一组团 2室1厅 东南,1900 元/月,100.56㎡,沙坪坝-大学城-龙湖U城一组团,https://cq.lianjia.com/zufang/CQ1952308698864943104.html
合租·加州城市花园 5居室 南卧,600 元/月,20.00㎡,渝北-嘉州-加州城市花园,https://cq.lianjia.com/zufang/CQ1823595722134519808.html
整租·弘扬万象雅居 3室1厅 东南,2800 元/月,70.00㎡,九龙坡-谢家湾-弘扬万象雅居,https://cq.lianjia.com/zufang/CQ1955205475779739648.html
整租·富力城五星名座 1室1厅 东南/南,1300 元/月,28.88㎡,沙坪坝-大学城-富力城五星名座,https://cq.lianjia.com/zufang/CQ1955146916450795520.html
整租·恒大都市广场 3室0厅 东南,5500 元/月,132.00㎡,渝中-大坪-恒大都市广场,https://cq.lianjia.com/zufang/CQ1942870625169178624.html
整租·重庆天地万科翡翠云阶 1室0厅 南,1499 元/月,41.12㎡,渝中-化龙桥-重庆天地万科翡翠云阶,https://cq.lianjia.com/zufang/CQ1846391877041913856.html
