标题,价格,面积,区域,链接
整租·弘公馆 2室1厅 南,4080 元/月,76.47㎡,松江-莘闵别墅-弘公馆,https://sh.lianjia.com/zufang/SH1776528521896656896.html
整租·博安苑 1室1厅 南,5500 元/月,50.93㎡,浦东-北蔡-博安苑,https://sh.lianjia.com/zufang/SH1955936666384334848.html
整租·蔷薇八村 2室1厅 南,4590 元/月,70.54㎡,闵行-春申-蔷薇八村,https://sh.lianjia.com/zufang/SH2372512850481782784.html
独栋·贝壳新青年公寓 龙漕路地铁站店 【金秋特惠 租9月送1月】近地铁 精装Loft整租一室 1室1厅,3000-3700 元/月,11.00-20.00㎡,仅剩4间,https://sh.lianjia.com/apartment/73416.html
整租·江虹花园 3室2厅 南,4300 元/月,113.52㎡,松江-松江新城-江虹花园,https://sh.lianjia.com/zufang/SH2593013531972739072.html
独栋·贝壳新青年公寓 龙漕路地铁站店 【金秋特惠 租9月送1月】精装复式 带衣柜 做饭 月付无压力 1室1厅,3000-3080 元/月,18.00㎡,仅剩2间,https://sh.lianjia.com/apartment/73416.html
整租·静安新城五区 1室1厅 南,5500 元/月,53.14㎡,闵行-静安新城-静安新城五区,https://sh.lianjia.com/zufang/SH2380931696267894784.html
整租·康宁坊 2室1厅 南,6050 元/月,60.55㎡,徐汇-康健-康宁坊,https://sh.lianjia.com/zufang/SH1955627436834029568.html
整租·西凌新邨 1室1厅 西,6120 元/月,39.21㎡,黄浦-蓬莱公园-西凌新邨,https://sh.lianjia.com/zufang/SH2619591013651718144.html
独栋·柚米寓 上海松江西部科技园柚米社区 无看房费！可短租！停车免费 大飘窗 首月0元 末月0元 1室1厅,1778-1823 元/月,30.00㎡,仅剩2间,https://sh.lianjia.com/apartment/71296.html
整租·国贸天悦云庭 3室1厅 南,5814 元/月,90.00㎡,松江-佘山-国贸天悦云庭,https://sh.lianjia.com/zufang/SH1733449312475545600.html
独栋·魔方公寓 嘉定魔力之城一店 不爱看样板间的你看这里，可月付，近地铁 1室1厅,2274 元/月,25.00㎡,仅剩1间,https://sh.lianjia.com/apartment/78412.html
整租·汇成五村 1室0厅 南,4000 元/月,35.50㎡,徐汇-上海南站-汇成五村,https://sh.lianjia.com/zufang/SH2617167272791515136.html
独栋·贝壳海盐公寓 汶水路地铁站店 【租6月免1月】3K+出差实习好房 一应俱全 1室1厅,4426 元/月,23.00㎡,仅剩1间,https://sh.lianjia.com/apartment/79207.html
整租·龙湖霖珑公馆 1室1厅 南,3162 元/月,60.00㎡,嘉定-嘉定新城-龙湖霖珑公馆,https://sh.lianjia.com/zufang/SH1732799025607868416.html
独栋·贝壳海盐公寓 汶水路地铁站店 【开业优惠】开窗见景保租房精装一居干湿分离 1室1厅,4383-4791 元/月,20.00-25.00㎡,仅剩2间,https://sh.lianjia.com/apartment/79207.html
整租·盛大天地青春里(一期) 2室1厅 复式 南,5600 元/月,67.06㎡,浦东-张江-盛大天地青春里(一期),https://sh.lianjia.com/zufang/SH2594326332834332672.html
整租·中环一号二期（琉樽尚品） 1室1厅 南,4300 元/月,51.50㎡,宝山-大华-中环一号二期（琉樽尚品）,https://sh.lianjia.com/zufang/SH1955594576546758656.html
独栋·森邻寓 莘庄旗舰店 【公主请看房】莘庄 整租温馨一房 无中介 1室1厅,3400-3600 元/月,19.00-20.00㎡,仅剩2间,https://sh.lianjia.com/apartment/81550.html
整租·大江苑 2室2厅 南/北,3264 元/月,92.00㎡,松江-松江新城-大江苑,https://sh.lianjia.com/zufang/SH2644102654539595776.html
整租·羽北小区 2室1厅 南,6300 元/月,69.88㎡,浦东-洋泾-羽北小区,https://sh.lianjia.com/zufang/SH1955101062822100992.html
独栋·贝壳新青年公寓 南翔地铁站店 E-102 特价好房整租一室户 1室1厅,3000 元/月,17.00㎡,仅剩1间,https://sh.lianjia.com/apartment/63671.html
整租·田林十二村 2室1厅 南,6300 元/月,48.64㎡,徐汇-田林-田林十二村,https://sh.lianjia.com/zufang/SH2298571337146572800.html
独栋·贝壳新青年公寓 南翔地铁站店 一楼带院两室3k+ 11号线 2室1厅,4725 元/月,35.00㎡,仅剩1间,https://sh.lianjia.com/apartment/63671.html
整租·荣乐中路115弄 2室1厅 南,2800 元/月,66.00㎡,松江-松江老城-荣乐中路115弄,https://sh.lianjia.com/zufang/SH1760966729179070464.html
独栋·方隅服务公寓 上海虹桥会展店 【班车专属福利】地铁2/10号线班车直达24h管家服务花园 1室1厅,4670 元/月,42.00㎡,仅剩1间,https://sh.lianjia.com/apartment/45242.html
整租·华谊星城名苑 2室2厅 南,9000 元/月,106.00㎡,杨浦-东外滩-华谊星城名苑,https://sh.lianjia.com/zufang/SH1955854419740327936.html
整租·鹤沙航城众惠苑 3室2厅 南/北,5000 元/月,123.22㎡,浦东-航头-鹤沙航城众惠苑,https://sh.lianjia.com/zufang/SH1955839890868404224.html
整租·田林十三村 2室1厅 南,6300 元/月,47.67㎡,徐汇-田林-田林十三村,https://sh.lianjia.com/zufang/SH1947206516419330048.html
整租·银桥花园 2室1厅 南,3800 元/月,81.74㎡,闵行-颛桥-银桥花园,https://sh.lianjia.com/zufang/SH1955488958775296000.html
整租·中环一号二期（琉樽尚品） 2室1厅 南,4882 元/月,68.00㎡,宝山-大华-中环一号二期（琉樽尚品）,https://sh.lianjia.com/zufang/SH1705156431365275648.html
整租·都市府邸(公寓) 2室2厅 南/北,5999 元/月,89.32㎡,闵行-颛桥-都市府邸(公寓),https://sh.lianjia.com/zufang/SH1950723957472624640.html
整租·金杨新村四街坊 1室1厅 南/北,3950 元/月,42.79㎡,浦东-金杨-金杨新村四街坊,https://sh.lianjia.com/zufang/SH1790709891355115520.html
独栋·柚米寓 华侨城店 【8周年庆享优惠】可办居住证！直租非中介！多窗边套 1室1厅,2841 元/月,40.00㎡,仅剩1间,https://sh.lianjia.com/apartment/17218.html
整租·新中小区 1室1厅 南,5000 元/月,30.07㎡,长宁-中山公园-新中小区,https://sh.lianjia.com/zufang/SH1791774597343870976.html
独栋·魔方公寓 软件园社区 房租陪你休个假！免费班车接送，8号线直达人广，随时入住 开间,2640 元/月,25.00㎡,仅剩1间,https://sh.lianjia.com/apartment/46227.html
整租·莫里斯花源 3室2厅 南,3433 元/月,93.27㎡,嘉定-徐行-莫里斯花源,https://sh.lianjia.com/zufang/SH1792791895471030272.html
整租·桃浦三村和乐苑 1室1厅 东南,3000 元/月,42.79㎡,普陀-桃浦-桃浦三村和乐苑,https://sh.lianjia.com/zufang/SH1955851086505967616.html
整租·园西小区 2室1厅 南,4550 元/月,65.00㎡,浦东-川沙-园西小区,https://sh.lianjia.com/zufang/SH1791753886575362048.html
独栋·柚米寓 安亭旭辉公元店 安亭保租房，带飘窗，民水民电，可办居住证 1室1厅,1488 元/月,20.00㎡,仅剩1间,https://sh.lianjia.com/apartment/54731.html
整租·童家浜小区 2室1厅 南,4906 元/月,50.00㎡,静安-大宁-童家浜小区,https://sh.lianjia.com/zufang/SH1787835512992563200.html
整租·浦江宝邸北区 2室2厅 南/北,3200 元/月,79.00㎡,闵行-闵浦-浦江宝邸北区,https://sh.lianjia.com/zufang/SH1955540647330971648.html
整租·阳光城未来悦 2室1厅 南,3500 元/月,74.24㎡,奉贤-西渡-阳光城未来悦,https://sh.lianjia.com/zufang/SH1955829140678508544.html
整租·天安豪园 1室1厅 南,6800 元/月,56.00㎡,闵行-金汇-天安豪园,https://sh.lianjia.com/zufang/SH1955881611786452992.html
整租·艾南小区 2室1厅 南/北,4500 元/月,59.41㎡,浦东-杨思前滩-艾南小区,https://sh.lianjia.com/zufang/SH1955472922873167872.html
整租·东旭雅苑 1室1厅 南,3800 元/月,53.00㎡,浦东-高行-东旭雅苑,https://sh.lianjia.com/zufang/SH1951176740529242112.html
整租·康桥鑫都 3室1厅 南/北,5500 元/月,93.37㎡,浦东-康桥-康桥鑫都,https://sh.lianjia.com/zufang/SH1951972162264891392.html
整租·中海戈雅园 3室2厅 南/北,3200 元/月,98.37㎡,奉贤-奉城-中海戈雅园,https://sh.lianjia.com/zufang/SH1944734769019355136.html
整租·华欣家园 2室1厅 南,4800 元/月,62.26㎡,徐汇-华泾-华欣家园,https://sh.lianjia.com/zufang/SH1949451763438321664.html
整租·曲一花苑 3室1厅 东南,7800 元/月,67.93㎡,虹口-曲阳-曲一花苑,https://sh.lianjia.com/zufang/SH1943516682077077504.html
整租·万科白马花园(公寓) 1室1厅 南,2900 元/月,51.27㎡,松江-莘闵别墅-万科白马花园(公寓),https://sh.lianjia.com/zufang/SH1955189258641735680.html
整租·橡胶小区 1室0厅 南,4900 元/月,32.71㎡,徐汇-徐家汇-橡胶小区,https://sh.lianjia.com/zufang/SH1955100747599183872.html
整租·悦湖郡 3室2厅 南,4000 元/月,96.92㎡,青浦-朱家角-悦湖郡,https://sh.lianjia.com/zufang/SH1955198991381561344.html
整租·大名城名郡 3室2厅 南,3800 元/月,87.65㎡,嘉定-安亭-大名城名郡,https://sh.lianjia.com/zufang/SH1955179094412886016.html
整租·华夏小区 1室1厅 南,3700 元/月,40.30㎡,浦东-杨思前滩-华夏小区,https://sh.lianjia.com/zufang/SH1955919484363472896.html
整租·中远行家 1室1厅 南,5900 元/月,77.12㎡,浦东-塘桥-中远行家,https://sh.lianjia.com/zufang/SH1955943668141522944.html
整租·岭南苑(凌兆路127弄) 2室2厅 南,5800 元/月,91.00㎡,浦东-三林-岭南苑(凌兆路127弄),https://sh.lianjia.com/zufang/SH1955563303581253632.html
整租·龙柏井亭公寓 2室1厅 南,8000 元/月,80.00㎡,闵行-龙柏-龙柏井亭公寓,https://sh.lianjia.com/zufang/SH1948955707353071616.html
整租·新城金郡（商住） 2室1厅 南,3500 元/月,53.52㎡,嘉定-嘉定新城-新城金郡（商住）,https://sh.lianjia.com/zufang/SH1951637269269970944.html
整租·绿岛阳光苑 4室3厅 南/北,8000 元/月,270.76㎡,崇明-崇明新城-绿岛阳光苑,https://sh.lianjia.com/zufang/SH1955938183006912512.html
整租·瑞康苑 3室1厅 南,6426 元/月,84.00㎡,浦东-三林-瑞康苑,https://sh.lianjia.com/zufang/SH1766120257975484416.html
整租·中海戈雅园 3室2厅 南/北,3200 元/月,98.37㎡,奉贤-奉城-中海戈雅园,https://sh.lianjia.com/zufang/SH1944734769019355136.html
整租·武宁一村 2室0厅 南,4896 元/月,42.00㎡,普陀-武宁-武宁一村,https://sh.lianjia.com/zufang/SH1760967847070138368.html
独栋·柚米寓 安亭旭辉公元店 安亭保租房，带飘窗，民水民电，可办居住证 1室1厅,1488 元/月,20.00㎡,仅剩1间,https://sh.lianjia.com/apartment/54731.html
整租·华欣家园 2室1厅 南,4800 元/月,62.26㎡,徐汇-华泾-华欣家园,https://sh.lianjia.com/zufang/SH1949451763438321664.html
独栋·虹桥人才公寓 虹桥店-南区09 虹桥人才公寓 舒奢两室 民水电 通燃气 可办居住证 2室1厅,8507-8853 元/月,88.46㎡,仅剩3间,https://sh.lianjia.com/apartment/81602.html
整租·曲一花苑 3室1厅 东南,7800 元/月,67.93㎡,虹口-曲阳-曲一花苑,https://sh.lianjia.com/zufang/SH1943516682077077504.html
整租·万科白马花园(公寓) 1室1厅 南,2900 元/月,51.27㎡,松江-莘闵别墅-万科白马花园(公寓),https://sh.lianjia.com/zufang/SH1955189258641735680.html
整租·悦湖郡 3室2厅 南,4000 元/月,96.92㎡,青浦-朱家角-悦湖郡,https://sh.lianjia.com/zufang/SH1955198991381561344.html
整租·大华锦绣华城(二街区) 1室1厅 南,6360 元/月,54.77㎡,浦东-北蔡-大华锦绣华城(二街区),https://sh.lianjia.com/zufang/SH1944408605318971392.html
整租·橡胶小区 1室0厅 南,4900 元/月,32.71㎡,徐汇-徐家汇-橡胶小区,https://sh.lianjia.com/zufang/SH1955100747599183872.html
整租·九歌中庭 2室1厅 西,5860 元/月,60.00㎡,闵行-静安新城-九歌中庭,https://sh.lianjia.com/zufang/SH1860658433418592256.html
整租·华夏小区 1室1厅 南,3700 元/月,40.30㎡,浦东-杨思前滩-华夏小区,https://sh.lianjia.com/zufang/SH1955919484363472896.html
整租·凤城二村 1室1厅 南,3230 元/月,31.00㎡,杨浦-控江路-凤城二村,https://sh.lianjia.com/zufang/SH1820747508138115072.html
整租·大名城名郡 3室2厅 南,3800 元/月,87.65㎡,嘉定-安亭-大名城名郡,https://sh.lianjia.com/zufang/SH1955179094412886016.html
整租·中远行家 1室1厅 南,5900 元/月,77.12㎡,浦东-塘桥-中远行家,https://sh.lianjia.com/zufang/SH1955943668141522944.html
