标题,价格,面积,区域,链接
整租·宝业馨苑 2室1厅 南,1210 元/月,78.00㎡,津南-咸水沽-宝业馨苑,https://tj.lianjia.com/zufang/TJ1765616245807251456.html
整租·冠云西里 1室1厅 东,1600 元/月,37.00㎡,河东-万新村-冠云西里,https://tj.lianjia.com/zufang/TJ1955473784722948096.html
整租·天汇中心 1室1厅 南,3100 元/月,55.38㎡,和平-南市-天汇中心,https://tj.lianjia.com/zufang/TJ1684842231871045632.html
整租·贻信园 2室1厅 南,2200 元/月,114.00㎡,滨海新区-杭州道-贻信园,https://tj.lianjia.com/zufang/TJ1948736190832181248.html
整租·欣荣馨苑 1室1厅 南,1732 元/月,48.68㎡,河东-唐家口-欣荣馨苑,https://tj.lianjia.com/zufang/TJ1653289151774064640.html
合租·旭辉燕南园 4居室 南卧,1030 元/月,14.70㎡,西青-精武镇-旭辉燕南园,https://tj.lianjia.com/zufang/TJ1949270447057010688.html
整租·景兴里 1室1厅 东,1450 元/月,42.23㎡,河西-挂甲寺-景兴里,https://tj.lianjia.com/zufang/TJ1723334200645386240.html
合租·王顶堤馨苑 3居室 南卧,1100 元/月,17.00㎡,西青-海泰高新区-王顶堤馨苑,https://tj.lianjia.com/zufang/TJ1913488633713655808.html
整租·社会山西苑 3室1厅 南/北,2850 元/月,121.85㎡,西青-张家窝-社会山西苑,https://tj.lianjia.com/zufang/TJ1664118153552068608.html
整租·太阳城皓林园 3室2厅 南,2800 元/月,89.00㎡,河东-太阳城-太阳城皓林园,https://tj.lianjia.com/zufang/TJ1955873687185915904.html
整租·同卫里（和平） 1室1厅 南,1700 元/月,38.00㎡,和平-新兴街-同卫里（和平）,https://tj.lianjia.com/zufang/TJ1689493347967696896.html
合租·碧水家园A区 4居室 东卧,1000 元/月,18.00㎡,西青-中北镇-碧水家园A区,https://tj.lianjia.com/zufang/TJ1918154206443732992.html
合租·王顶堤馨苑 3居室 南卧,970 元/月,25.00㎡,西青-张家窝-王顶堤馨苑,https://tj.lianjia.com/zufang/TJ1943239162610057216.html
整租·富力桃园天富园 2室1厅 南,2000 元/月,90.17㎡,津南-双港-富力桃园天富园,https://tj.lianjia.com/zufang/TJ1955899729669783552.html
整租·津泊湾 2室2厅 南/北,1300 元/月,82.00㎡,静海-团泊东-津泊湾,https://tj.lianjia.com/zufang/TJ1945021994248437760.html
合租·碧水家园D区 4居室 南卧,970 元/月,25.00㎡,西青-中北镇-碧水家园D区,https://tj.lianjia.com/zufang/TJ1884089605964169216.html
